title,price,original_price,discount,link,image_url,category,crawled_at
"맥심 화이트골드 커피믹스, 11.7g, 160개입, 1개",22500,22500,0,https://www.coupang.com/vp/products/4549542648?itemId=5519787375&vendorItemId=72819331904&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/de46/765c771051d0512d71ee21c3b75d78683f76bc6018ef0fa37ab02eda2601.jpg,골드박스,2025-03-13 08:16:14
"피스코리아 평화 코팅 가위, 블랙, 2개",5330,8000,33,https://www.coupang.com/vp/products/35317775?itemId=130942632&vendorItemId=3275028101&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/984219520425525-1b2bd1a5-ec81-4c48-850d-9339336f7555.jpg,골드박스,2025-03-13 08:16:14
"하늘선물 미니 물티슈 휴대형, 20매 × 20팩, 20개, 20개입, 80g",8500,9500,10,https://www.coupang.com/vp/products/8590002910?itemId=306694248&vendorItemId=3756356877&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/9cab/3ba0a4486004c3a51d7ced524f68eb5f5dd8c3cf4255b81c832a9031924d.jpg,골드박스,2025-03-13 08:16:14
"코멧 양면 무흠집 버블 스펀지 수세미 핑크, 10개입, 1개",6190,16000,61,https://www.coupang.com/vp/products/7180954892?itemId=18110930039&vendorItemId=85262568632&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/3933/4624eb8ab8982b6dc80a53818e7e0957ff930170212235b00a5beb4ff49b.jpg,골드박스,2025-03-13 08:16:14
"더페이스샵 데일리 뷰티툴즈 프리미엄 면봉, 200개입, 1개",2250,3000,25,https://www.coupang.com/vp/products/6262280614?itemId=2977818016&vendorItemId=88353381975&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/01/12/11/7/30f5b9a6-e01a-4b36-a093-d701e49b0412.jpg,골드박스,2025-03-13 08:16:14
"헤드앤숄더 두피 토탈 솔루션 딥 클린 샴푸, 1.2L, 1개",13240,13240,0,https://www.coupang.com/vp/products/1407366400?itemId=13947635119&vendorItemId=71731402309&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/708817399120828-4a666578-1027-45c6-a044-8284c175c7bf.jpg,골드박스,2025-03-13 08:16:14
"켈로그 크랜베리 아몬드 그래놀라, 550g, 1개",6350,9280,31,https://www.coupang.com/vp/products/6135468407?itemId=2247264370&vendorItemId=70244671568&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/998f/c7a6c6047fd12cd7f410f225d3f4ef14582744653528bd06f653b9494697.jpg,골드박스,2025-03-13 08:16:14
"시크릿데이 입는 오버나이트 팬티형, 대형, 4개입, 5개",14900,49950,70,https://www.coupang.com/vp/products/8337903660?itemId=20316375818&vendorItemId=5282069365&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/5018/e38c3c445a95efad5fa642ac0c73eba846a41fdaba5f5a6905a987bb6424.jpg,골드박스,2025-03-13 08:16:14
"덴프스 덴마크 유산균이야기, 30정, 2개",27300,102000,73,https://www.coupang.com/vp/products/6063894601?itemId=18741626520&vendorItemId=85873889893&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/11e6/7eaf87025e5506068f7fc34c0f51394f11d8cc9c30bfd17e7f231d758ee0.jpg,골드박스,2025-03-13 08:16:14
"청우 첫맛 멸치육수 430g 잔치국수/우동/어묵/국물육수, 1kg, 1개",7900,13800,42,https://www.coupang.com/vp/products/6352727510?itemId=24771232776&vendorItemId=91779350564&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4331/5014323546570fb9034762dac8ad9234fdb67437c99031766829f1e41bf7.jpg,골드박스,2025-03-13 08:16:14
"페페브루노 아보카도 오일, 1L, 1개",20780,20780,0,https://www.coupang.com/vp/products/7140321311?itemId=17925512020&vendorItemId=86183804461&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4942/8c59df3ce274462e9b35b2627cd432cfdd39e925f5bbf99c4dee70b57789.jpg,골드박스,2025-03-13 08:16:14
"테팔 인덕션 티타늄 1X 스테인리스 스틸 트렌디쿡 프라이팬, 28cm, 1개",41900,109000,61,https://www.coupang.com/vp/products/8527026341?itemId=13943618577&vendorItemId=81192884825&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/0e2e/3f7844fac7890a8c715ecd5de65b77488878dff4c95a4a90cd6a47a378f9.jpg,골드박스,2025-03-13 08:16:14
"슈퍼너츠 100% 땅콩 피넛버터 크런치, 460g, 1개",14400,16000,10,https://www.coupang.com/vp/products/6775809414?itemId=14490085035&vendorItemId=83128542418&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/43ac/3ae29299781cbfbbba85c279372685556b8f05d3e1f2443ecccf6b7a5208.jpg,골드박스,2025-03-13 08:16:14
"대추방울토마토, 2kg, 1박스",18100,22100,18,https://www.coupang.com/vp/products/7623790443?itemId=20935195373&vendorItemId=88001760414&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/607273691256229-f02648ab-0501-45d4-acfd-b92e00fb03ea.jpg,골드박스,2025-03-13 08:16:14
"랩신 컬러체인징 포밍 핸드워시 포도향, 500ml, 1개",5420,7900,31,https://www.coupang.com/vp/products/7510807411?itemId=14280007113&vendorItemId=81525000559&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/122986497675862-ff5b23a4-fb62-4a5c-ab45-9eba0bb0c19a.png,골드박스,2025-03-13 08:16:14
"종근당건강 프로메가 오메가3 트리플 장용성, 60정, 2개",21260,39900,46,https://www.coupang.com/vp/products/6586372374?itemId=19081002442&vendorItemId=82081965656&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1768081961943096-03d40bde-f66d-491c-b2a3-872e14efa899.jpg,골드박스,2025-03-13 08:16:14
"Apple 정품 20W USB-C 전원 어댑터 MUW13KH/A, 화이트, 1개",25890,28000,7,https://www.coupang.com/vp/products/2270230024?itemId=22170383583&vendorItemId=88946948908&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/337c/6f9e8514fcfd9526e0eabab41c0ae0a2fa18aff939c9b55904b8805717dc.jpg,골드박스,2025-03-13 08:16:14
"안티노카세이피초 파르미지아노 레지아노 치즈, 150g, 1개",10060,10800,6,https://www.coupang.com/vp/products/166481485?itemId=476862360&vendorItemId=4196544380&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2018/12/06/17/0/cf8bdec5-d480-45de-a18c-e7a5e00e3ba9.jpg,골드박스,2025-03-13 08:16:14
"곰곰 반숙란 50g (냉장), 30구, 1개",15690,19990,21,https://www.coupang.com/vp/products/1194639177?itemId=12500946743&vendorItemId=79769545123&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/194731616483997-7a5b31fb-b8ae-4d24-b581-794a616ac53b.jpg,골드박스,2025-03-13 08:16:14
"브리스틱 에르고 1단계 유아칫솔 세트, Mint + Lime + Grape + Mango + Raspberry, 5개입, 1세트",14650,20000,26,https://www.coupang.com/vp/products/6545000731?itemId=19077610762&vendorItemId=5589787568&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/5820/06df8e45d537d10742883600b855cad3c64e517128ca667ebd3d1f18f795.jpg,골드박스,2025-03-13 08:16:14
