title,price,original_price,discount,link,image_url,category,crawled_at
"국내산 애호박, 1개입, 1개",890,1980,55,https://www.coupang.com/vp/products/4697181411?itemId=5911958981&vendorItemId=73210037770&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/438319943630087-5f42d558-1a49-4634-8dcc-cfe7ba66a482.jpg,골드박스,2025-05-18 08:14:31
"흙대파, 1kg, 1개",1320,3720,64,https://www.coupang.com/vp/products/6528172171?itemId=5911958170&vendorItemId=73210037048&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4063320789843989-2f070b18-3886-4b8c-871b-2403227cfec9.jpg,골드박스,2025-05-18 08:14:31
"국내산 깐마늘, 80g, 1개",870,990,12,https://www.coupang.com/vp/products/7548941405?itemId=19861765205&vendorItemId=86962702565&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1245521295790002-ba376a2f-873c-467a-937e-2d49dbbb8273.jpg,골드박스,2025-05-18 08:14:31
"국내산 청양고추, 150g, 1개",1400,2280,38,https://www.coupang.com/vp/products/6201953316?itemId=6106220628&vendorItemId=73402571318&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4277012004459-c7710d73-f1c9-4fe3-bb5d-a9ca72f84383.jpg,골드박스,2025-05-18 08:14:31
"오뚜기 토마토 케챂, 300g, 1개",1300,1980,34,https://www.coupang.com/vp/products/35267?itemId=95696&vendorItemId=3000044027&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/1025_amir_coupang_oct_80k/46e7/2ad6cb612a18fa9a325d14bfcb1d08943a5caac360e824d691273c27b6cc.jpg,골드박스,2025-05-18 08:14:31
"국내산 알배기, 1개입, 1개",1990,4490,55,https://www.coupang.com/vp/products/2233944989?itemId=3812413037&vendorItemId=71797311591&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6843631065462347-75b36d8f-5b10-4b8e-a674-cd6e481ce214.png,골드박스,2025-05-18 08:14:31
"국내산 청상추, 200g, 1개",1320,2100,37,https://www.coupang.com/vp/products/1547900023?itemId=2649709157&vendorItemId=70640576460&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1874101060238-2d0121d6-56d7-44fa-a12a-49a5fe3b1949.jpg,골드박스,2025-05-18 08:14:31
"친환경 국내산 팽이버섯, 300g(150gx2개입), 1개",1160,1160,0,https://www.coupang.com/vp/products/4665612599?itemId=19852973940&vendorItemId=86954124423&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5137944195095377-8673c12c-fe7f-4556-876a-53995242a294.jpg,골드박스,2025-05-18 08:14:31
"국내산 파프리카 혼합, 2개입, 1개",1980,4290,53,https://www.coupang.com/vp/products/4792356812?itemId=6142183499&vendorItemId=73438425731&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/13399308760286-80025ebd-bbd7-45ad-af2f-8f79d3dd18db.jpg,골드박스,2025-05-18 08:14:31
"국내산 청경채, 150g, 1팩",1120,1400,20,https://www.coupang.com/vp/products/5186098054?itemId=19860509234&vendorItemId=86961475229&sourceType=CAMPAIGN&campaignId=82&categoryId=0,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/772868379108268-d27cf929-adec-43b4-b2fb-004667e775b7.jpg,골드박스,2025-05-18 08:14:31
